trial,t_s,axis,commanded_m,rendered_m,error_m,pass,blocked,clamped
48,24.96,GT,118.4890,118.4890,0.0000,1,0,0
48,24.96,TR,23.8800,23.8800,0.0000,1,0,0
48,24.96,HO,33.2000,33.2000,0.0000,1,0,0
49,25.48,GT,118.4890,118.4890,0.0000,1,0,0
49,25.48,TR,23.8800,23.8800,0.0000,1,0,0
49,25.48,HO,33.2000,33.2000,0.0000,1,0,0
50,26.00,GT,118.4890,118.4890,0.0000,1,0,0
50,26.00,TR,23.8800,23.8800,0.0000,1,0,0
50,26.00,HO,33.2000,33.2000,0.0000,1,0,0
51,26.52,GT,118.4890,118.4890,0.0000,1,0,0
51,26.52,TR,23.8800,23.8800,0.0000,1,0,0
51,26.52,HO,33.2000,33.2000,0.0000,1,0,0
52,27.04,GT,118.4890,118.4890,0.0000,1,0,0
52,27.04,TR,23.8800,23.8800,0.0000,1,0,0
52,27.04,HO,33.2000,33.2000,0.0000,1,0,0
53,27.56,GT,118.4890,118.4890,0.0000,1,0,0
53,27.56,TR,23.8800,23.8800,0.0000,1,0,0
53,27.56,HO,33.2000,33.2000,0.0000,1,0,0
54,28.08,GT,118.4890,118.4890,0.0000,1,0,0
54,28.08,TR,23.8800,23.8800,0.0000,1,0,0
54,28.08,HO,33.2000,33.2000,0.0000,1,0,0
55,28.60,GT,118.4890,118.4890,0.0000,1,0,0
55,28.60,TR,23.8800,23.8800,0.0000,1,0,0
55,28.60,HO,33.2000,33.2000,0.0000,1,0,0
56,29.12,GT,118.4890,118.4890,0.0000,1,0,0
56,29.12,TR,23.8800,23.8800,0.0000,1,0,0
56,29.12,HO,33.2000,33.2000,0.0000,1,0,0
57,29.64,GT,118.4890,118.4890,0.0000,1,0,0
57,29.64,TR,23.8800,23.8800,0.0000,1,0,0
57,29.64,HO,33.2000,33.2000,0.0000,1,0,0
58,30.16,GT,118.4890,118.4890,0.0000,1,0,0
58,30.16,TR,23.8800,23.8800,0.0000,1,0,0
58,30.16,HO,33.2000,33.2000,0.0000,1,0,0
59,30.68,GT,118.4890,118.4890,0.0000,1,0,0
59,30.68,TR,23.8800,23.8800,0.0000,1,0,0
59,30.68,HO,33.2000,33.2000,0.0000,1,0,0
60,31.20,GT,118.4890,118.4890,0.0000,1,0,0
60,31.20,TR,23.8800,23.8800,0.0000,1,0,0
60,31.20,HO,33.2000,33.2000,0.0000,1,0,0
61,31.72,GT,118.4890,118.4890,0.0000,1,0,0
61,31.72,TR,23.8800,23.8800,0.0000,1,0,0
61,31.72,HO,33.2000,33.2000,0.0000,1,0,0
62,32.24,GT,118.4890,118.4890,0.0000,1,0,0
62,32.24,TR,23.8800,23.8800,0.0000,1,0,0
62,32.24,HO,33.2000,33.2000,0.0000,1,0,0
63,32.76,GT,118.4890,118.4890,0.0000,1,0,0
63,32.76,TR,23.8800,23.8800,0.0000,1,0,0
63,32.76,HO,33.2000,33.2000,0.0000,1,0,0
64,33.28,GT,118.4890,118.4890,0.0000,1,0,0
64,33.28,TR,23.8800,23.8800,0.0000,1,0,0
64,33.28,HO,33.2000,33.2000,0.0000,1,0,0
65,33.80,GT,118.4890,118.4890,0.0000,1,0,0
65,33.80,TR,23.8800,23.8800,0.0000,1,0,0
65,33.80,HO,33.2000,33.2000,0.0000,1,0,0
66,34.32,GT,118.4890,118.4890,0.0000,1,0,0
66,34.32,TR,23.8800,23.8800,0.0000,1,0,0
66,34.32,HO,33.2000,33.2000,0.0000,1,0,0
67,34.84,GT,118.4890,118.4890,0.0000,1,0,0
67,34.84,TR,23.8800,23.8800,0.0000,1,0,0
67,34.84,HO,33.2000,33.2000,0.0000,1,0,0
68,35.36,GT,118.4890,118.4890,0.0000,1,0,0
68,35.36,TR,23.8800,23.8800,0.0000,1,0,0
68,35.36,HO,33.2000,33.2000,0.0000,1,0,0
69,35.88,GT,118.4890,118.4890,0.0000,1,0,0
69,35.88,TR,23.8800,23.8800,0.0000,1,0,0
69,35.88,HO,33.2000,33.2000,0.0000,1,0,0
70,36.40,GT,118.4890,118.4890,0.0000,1,0,0
70,36.40,TR,23.8800,23.8800,0.0000,1,0,0
70,36.40,HO,33.2000,33.2000,0.0000,1,0,0
71,36.92,GT,118.4890,118.4890,0.0000,1,0,0
71,36.92,TR,23.8800,23.8800,0.0000,1,0,0
71,36.92,HO,33.2000,33.2000,0.0000,1,0,0
72,37.44,GT,118.4890,118.4890,0.0000,1,0,0
72,37.44,TR,23.8800,23.8800,0.0000,1,0,0
72,37.44,HO,33.2000,33.2000,0.0000,1,0,0
73,37.96,GT,118.4890,118.4890,0.0000,1,0,0
73,37.96,TR,23.8800,23.8800,0.0000,1,0,0
73,37.96,HO,33.2000,33.2000,0.0000,1,0,0
74,38.48,GT,118.4890,118.4890,0.0000,1,0,0
74,38.48,TR,23.8800,23.8800,0.0000,1,0,0
74,38.48,HO,33.2000,33.2000,0.0000,1,0,0
75,39.00,GT,118.4890,118.4890,0.0000,1,0,0
75,39.00,TR,23.8800,23.8800,0.0000,1,0,0
75,39.00,HO,33.2000,33.2000,0.0000,1,0,0
76,39.52,GT,118.4890,118.4890,0.0000,1,0,0
76,39.52,TR,23.8800,23.8800,0.0000,1,0,0
76,39.52,HO,33.2000,33.2000,0.0000,1,0,0
77,40.04,GT,118.4890,118.4890,0.0000,1,0,0
77,40.04,TR,23.8800,23.8800,0.0000,1,0,0
77,40.04,HO,33.2000,33.2000,0.0000,1,0,0
78,40.56,GT,118.4890,118.4890,0.0000,1,0,0
78,40.56,TR,23.8800,23.8800,0.0000,1,0,0
78,40.56,HO,33.2000,33.2000,0.0000,1,0,0
79,41.08,GT,118.4890,118.4890,0.0000,1,0,0
79,41.08,TR,23.8800,23.8800,0.0000,1,0,0
79,41.08,HO,33.2000,33.2000,0.0000,1,0,0
80,41.60,GT,118.4890,118.4890,0.0000,1,0,0
80,41.60,TR,23.8800,23.8800,0.0000,1,0,0
